FY,SIC,EMPLOYEES,PRODUCTS,PRODHOURS,E2_plant_cost,E2_plant_usage,E2 in joule,kWh,KW,MW,Category,H2_required,el_size_approx,NG_usd_per_mmbtu,NG_usd_per_kwh
1998,3471,48,"Quartz Manchining, Grinding, lapping, and polishing",6000,7994,1631,1.72E+12,477998.9155,79.66648591,0.079666486,Glass_Furnace,14341.40161,0.103597511,0.204028021,0.016723887
1998,3452,57,"Botts, nuts, screws, rivets and washers",4500,9748,1628,1.72E+12,477119.7022,106.0266005,0.1060266,Chemicals_Dryer,14315.02257,0.137875943,0.167008617,0.020430932
1992,3089,175,CUSTOM MOLDED PLASTICS,6000,7617,1622,1.71E+12,475361.2758,79.2268793,0.079226879,Chemicals_Dryer,14262.2645,0.10302585,0.212944729,0.016023602
2024,8322,15,Food Services,1456,16851,1601,1.69E+12,469206.7833,322.2574061,0.322257406,FD_Boiler,14077.61126,0.419060346,0.095009198,0.035913803
2006,3724,125,Aircraft Components,4400,18325,1600,1.69E+12,468913.7123,106.5712982,0.106571298,Metal_Oven,14068.81825,0.138584263,0.087312415,0.039079685
2017,3087,97,Food packaging,8760,10821,1572,1.66E+12,460707.7223,52.59220574,0.052592206,FD_Boiler,13822.61393,0.068390385,0.14527308,0.023487776
2006,3544,100,CNC Machining of Various Materials,7344,16797,1564,1.65E+12,458363.1537,62.41328346,0.062413283,Chemicals_Dryer,13752.26984,0.081161616,0.093111865,0.036645616
2024,4941,20,Treated Drinking Water,8760,17304,1519,1.6E+12,445174.9556,50.81905886,0.050819059,Ceramics_Kiln,13356.58433,0.066084602,0.087783172,0.038870111
2018,3561,175,Pumps,6000,14172,1485,1.57E+12,435210.5392,72.53508987,0.07253509,Metal_Oven,13057.62194,0.094323914,0.104784081,0.03256355
2018,3561,175,Pumps,6000,14172,1485,1.57E+12,435210.5392,72.53508987,0.07253509,Metal_Oven,13057.62194,0.094323914,0.104784081,0.03256355
1996,3452,85,exhaust system fasteners,3000,7138,1480,1.56E+12,433745.1839,144.581728,0.144581728,Metal_Oven,13013.65688,0.18801265,0.207340992,0.016456667
1988,3089,125,PLASTIC PACKAGING,6000,7440,1472,1.55E+12,431400.6153,71.90010255,0.071900103,Chemicals_Dryer,12943.31279,0.093498183,0.197849462,0.017246151
1985,3641,110,ELECTRODE ASSEMBLIES,2400,9518,1465,1.55E+12,429349.1178,178.8954658,0.178895466,Metal_Oven,12881.76171,0.232633896,0.153918891,0.02216844
1994,3714,100,motor vehicle body side molding,6000,7257,1446,1.53E+12,423780.7675,70.63012791,0.070630128,Metal_Oven,12714.69449,0.09184672,0.199255891,0.01712442
2012,3823,250,"Load, torque, and pressure sensors",6400,10978,1442,1.52E+12,422608.4832,66.0325755,0.066032575,Metal_Oven,12679.52245,0.085868108,0.131353616,0.025976762
2020,3672,126,Circuits and Cables,3500,10079,1436,1.52E+12,420850.0568,120.2428734,0.120242873,Metal_Oven,12626.76438,0.156362644,0.142474452,0.023949147
2002,3569,250,Robotic Systems,3432,12488,1431,1.51E+12,419384.7014,122.1983396,0.12219834,Metal_Oven,12582.79932,0.158905514,0.114590006,0.029776956
2000,2752,51,commercial printed products,6864,9280,1413,1.49E+12,414109.4222,60.33062677,0.060330627,Chemicals_Dryer,12424.52512,0.078453351,0.152262931,0.022409536
