PRODUCTS
STRIPS & SHEETS OF STEEL
"Temperature Sensors, controls, and electrical switches"
Sinter-forged automotive transmission components
Automotive Lifts
Farm Machinery
Engineered Chain
Canned Tomatoes 
Encapsulated and Spray Dried Flavors
Steel Waste receptacles
Automatic Interior Trim/Steering Wheels/Airbags
steel hydraulic fittings
CHEM. REAGENTS& SOLVENTS
Caddy Fasteners
Automotive Sealing Systems
Infrared Cameras
Power Transmission Components
Flexible packaging
rubber footwear
Automotive Steering Components and CVT Transmission Parts
Aluminum Castings
"acids, chemicals, solvents"
Surfactants for detergent industry
WIRE SHELVES FOR APPLIANCES
FABRICATED METAL PRODUCT
"Plastic compounds, pellets"
"Medical, Dental and Animal Health Equipment"
ALUMINUM CASTINGS
automotive and industrial batteries
"BREAD,DONUTS,COOKIES,ETC"
Potato Chips
Automotive Shock Absorbers
polymers and water-based adhesives
Bacon
"Catalytic Convertors, Torque Convertors, Silencers"
labels
Distilled & rectified liquors and bottling of blended liquor
COOKWARE-IRON & ALUMINUM
"Crepe paper, Drum lining paper"
Ductile iron castings
ALUMINUM DIE CASTINGS
Insulated Copper Wire
AUTOMOTIVE TRIM
"Fans, blowers, humidifiers, air moving equipment & blower wh"
rag and cotton linter pulp
"VALVES,BLOWERS,HEAT EXCHANGERS"
NEWSPAPER INSERTS
corrugated boxes
Exhaust Systems
"gray and ductile iron castings, fabricated metal"
Surfactants for personal care
Metal Finishing
Carbonated Soft Drinks
electronic components
CUSTOM MOLDED PORCELAIN
"Rocket motor tubes, ammunition liners and cartridges"
"BREADS, DANISH, BUNS"
"ELECTROPLATING,ANODIZING"
BATH CABINETS
COMMERCIAL LAUNDRY EQUIPMENT
Cheese
Polyurethane Sealants and Coatings
Packaged bacon - raw and cooked
Vinyl Siding
Freezers & Standard Appliances
Steel and iron casting
Roofing Products
METAL SHELVING
MEAT PROCESSING
CORRUGATED CONTAINERS
COMMERCIAL HEAT TREATING
Steel Fabrication
VALVES & PIPE FITTINGS
METAL FABRICATION
ELECTROPLATING STEEL
PAINT AND COATINGS
heparin
Fiberglass Based Ceiling Tile
real estate yard signs
Folding Cartons
Asphalt Shingles
MOLDED AUTO PARTS
printing
Industrial Spray Painting and Powder Coating Services
Welding wire
military rations
WHEELS & BLOWERS
REINFORCED ELECTRICAL GRATES
PRINTING INKS
"machining centers, EDMs"
"Transmission components, shafts, gears"
ROPES AND TWINES
Grey Iron and Ductile Iron Castings
PRINTED MATERIALS
Powder Coated Metal Parts
"VINYL,BUTYL & PLASTICS"
Metal Forming Machinery 
BUSBARS & HOUSING
CORRUGATED PAPER PCKGING
snow plows and ice control equipment
WELDED STEEL TUBING
Car interiors
master cylinder and brake pistons
Fluid moving systems
"MATTRESSES,BOXSPRINGS"
Food products
Abrasives
GARDEN TOOLS
METAL FINISHING
Printing
"MILK,WATER,BUTTER,CHEESE"
Pet Food
Plastic Wheel Covers and Bezels
electroplating
COSMETIC WRAPPINGS
"Fabricated Sheet Metal Parts, Telescoping Masts"
Iron and Steel Castings
STORAGE EQUIPMENT
FABRICATED METAL PRODUCT
Motor rebuild
DECO APPLIANCE TRIMS
Emergency Medical Vehicles
FROZEN MEAT PATTIES
PRESTRESSED CONCRETE
SECURITY WINDOWS
Engineered Plastic
ALUMINUM EXTRUSIONS
Automotive Disk Brake Calipers & Automotive Electronic Stability Control
Metal stamping and welding assemblies
Automotive Forgings
GLASS TO METAL SEALS
Continuous Steel Strip
Propellers
Hard Chrome Plating of Automotive Dies
steel castings
REFRIGERATED BOXES
WATER COOLERS
DENTAL EQUIPMENT
plastic pellets
ELECTRICAL CONNECTORS
Copper and Bronze Casting
reinforced rubber hose
STARTER RING GEARS
RECREATION VEHICLES
Gelatin Based Desserts and Dairy Dips
Painted Glassware
INJECTION-MOLDED PLASTIC
AUTOMOTIVE TRIM
Plastics products
"sheet metal work, stampings"
PIANO PLATES
Injection molded parts
Resistor networks
AIRCRAFT PROPELLERS
IND. MIXING EQUIPMENT
Aluminum castings
"Plating-Zinc,Nickel,Zinc,Iron,Zinc"
Metal heat-treating and plating
Bridge Components
Steel Pipe and Tubes
Air and gas compressors
CATTLE FEEDS/ANIMAL FATS
IRON & STEEL CASTINGS
Suspension Bushings
Plastic Pipe Fittings
PAPER BOARD
Cold Roll Round Steel Products
FLUOROPOLYMER PRODUCTS
Detergents and Emulsifiers
industrial  valves
Lift truck parts and Accessories
Frozen Hamburgers and Cheeseburgers
rocker arms
CENTRIFUGAL PUMPS
grey iron castings
organic chemicals
CONTAINERS
Lubricating Oils and Greases
AUTO SAFETY & LIGHTING
PAPER CARTONS
PLASTIC MOLDED PRODUCTS
"BOOKS,CATALOGS,CALENDARS"
Rotational molded plastic products
Polymer and Material Handling and Storage Equipment
PRECISION MEASURING INSTRUMENTS
Auto Parts
Air and Gas Compressors
PAPER MILL MACHINERY
Industrial Machinery
BACON
auto starters and alternators
aluminum and zinc castings
"HAM,BACON,LUNCH MEATS"
Sunroofs
innerspring units
Silicone Release Liners
Metal fabricaiton and powder coating
Aerospace Products
BOTTLED SOFT DRINKS
condiments
Metal Forging
Printing Ink
auto brake calipers
Cleaning Chemicals
Bottled soft drinks
ferrous metal castings
NICKEL & ZINC PLATING
"CAULKS,SEALANTS,ETC."
automotive lighting
DISPLAY CASES (BAKERY)
STEEL PLATE PROCESSOR
PULP & PAPER MILL EQUIPMENT
"power steering pumps, marine tilt motors"
RUBBER PRODUCTS
Conductive Polymers
elevators and escalators
"Silk screen, lithographic paper, metal and plastic signs"
Heat treated parts
Industrial Pumps
polyethylene bags and specialty paper
RR TRACKWORK PRODUCTS
AIRCRAFT ELECTRICAL EQUIPMENT
Concrete accessories
BRASS PLUMBING PRODUCTS
ENVELOPES & PAPER
sheet metal stampings
Fuel Rails
SHIPPING CONTAINERS
THERMAL SPRAY COATING
CENTRIFUGAL SEPARATION EQUIPMENT
"MILK,CHEESE,ICE CREAM"
Horticulture Containers
ELECT. WIRE ROPE HEISTS
ICE CREAM & SYRUP PRODUCTS
Hamburger Buns
MEN'S/WOMEN'S SUITS
MULTI WALL BAGS
COMP. RIBBONS & PAPER
sulfonic acid
school buses
COMMERCIAL PRINTINGS
fluid dairy and juice products
STEEL WOOLS
PAPER BAGS
"Automotive plastic exterior trims, weather stripping and sea"
HARDBOARD & PARTICLE BOARD
welded steel tubing
CRYOGENIC EQUIPMENT
"adhesives, resins"
BATTERY CHARGERS
Powdered metal products
HAMBURGER BUNS
Extruded Plastic Trim
Laminated Label Stock
Powder coating and electro-coating for metal castings
Calcium carbide
MANIFOLD BUSINESS FORMS
folding cartons
STEEL FORGING
BUILDING COMPONENTS
AUTO PACKAGING MACHINES
aerospace composite hardware
CHEMICAL SPECIALTY PRODU
PIANO PLATES/FRAMES
turbine engine components
metal stamping
Projection Screens
burlap bags
EMBALMING CHEMICALS
"Airflow Ductwork, AirClean Control Systems, AirSilence Products"
Automotive Interiors
CORRUGATED BOXES
HYDRAULIC TUBE FITTINGS
VEGETABLE OIL PRESSES
Aircraft propellers and drive systems
Meat Products
TANKS & PROCESS EQUIPMENT
fabricated structural steel/plate weldments
Fan Systems
RV refrigeration units
Knobs and handles
Sandwiches
PAPER BOXES
ALUMINUM COOKWARE
Fine blank components
SIGNS
MACHINE KNIVES & WAYS
automotive struts
"Industrial Mezzanines, Safety Steel Guard"
"SHAMPOO, LIQUID SOAPS"
Ready-to-assemble furniture
Flexible Projection Material
INDUSTRIAL FANS
LAWN & GARDEN EQUIPMENT
Torque Converter Rebuilding
MEDICAL & XRAY EQUIPMENT
"Metal working, industrial machines and equipment"
Ball and Roller Bearings
WELDING WIRES & FLUXES
HARDWARE FOR CONCRETE
automotive parts
INDUSTRIAL FANS
FILTER MEDIA
Precast and prestressed concrete products
DISPOSABLE MEDICAL PRODUCTS
Directional Drills and Boring Machines
detergents
BOTTLED SOFT DRINKS
AUTOMOTIVE PLASTIC PARTS
Hamburger Patties
Printed circuit boards
Centrifugals
Gas Station Equipment
Bottled Liquor
FIRE HOSES
SALAD DRESSINGS
WOMEN'S SHOES
GEARS & GEAR BOXES
ENVELOPES
Hinges
Travel Trailers and Motor Homes
IMPRINTED SPORTSWEAR
REAR VIEW MIRRORS
MIRRORED SHOWER DOORS
Automatic Transmission Shafts
Injection Molded Plastic Goods
Vacuum formed ceramic fiber high temperature insulation products
Medical Supplies
Shock Absorbers
service station valves & pipe fittings
Farm implements
LIGHT CONSTRUCTION EQUIPMENT
AIR RECEIVER TANKS
Rubber Extrusion
"Dispersions, emulsions, color pigments, thermoset resins"
Vehicle Sensor and Control Devices
CHEMICAL DISTRIBUTION
Rubber Inserts
pies and cakes
Commercial Screen Printing
Heavy Capacity Scales
COMMERCIAL STEAMERS
"DOORS, METAL ACCESS,ETC."
"MACHINERY, RENDERING INDUSTRY"
"TIRE PROCESSING,STORAGE"
DRESSES
PRINTING MATTER
Monolithic Refractories
Fiberglass Reinforced Panels
Coatings/ Asphalt
Car Audio Products
Plastic Bottles
mustard and horseradish condiments
Precast concrete structures and pipe
Packaging Machinery
Vinyl Extrusion
ADHESIVES & SEALANTS
Metal Stampings
"Industrial Knives, Heat Treating"
Plastic Products
GRAY & DUCTILE IRON CAST
PV Modules
Photo engraving plate
ADHESIVES
Forging
"clutch assemblies, power steering pumps, rear differentials"
Sheet Metal
plastic illuminated signs
PLASTIC BAGS
specialized military equipment
KITCHEN CABINETS
motor vechile parts
Industrial Valves
deep drawn metal stampings
MACHINED AUTO PARTS
Coil handling and press feeding equipment
Thin Film Color Coating on and in Glass
"Decorative exhaust, shims, gaskets"
FLUOROPOLYMER PUMPS
machinery
BALL BEARING ASSEMBLIES
SMALL WATER PUMPS
Molded Plastics
PVC Siding
COMMERCIAL PRINTING
metal stampings
Coolant filtration equip.
Ink
Plastic and rubber automotive parts
Hinges
STAINLESS STEEL CASTINGS
printed circuit boards
"fabricated plate work, metal stampings"
chrome wheels
"CORN, SOYBEANS, WHEAT"
WATER SOFTNERS
Commercial food equipment
PRINTING EQUIPMENT
Various Composite Products
GRAPHIC ARTS MACHINERY
folding cartons
Blood and tissue
AIRCRAFT PROPELLERS
bronzed baby shoes
TEXTILE HEDDING PRODUCTS
Food Processing Equipment
OUTDOOR SIGNS
Wood Fixtures for Retail
WIRE/STEEL PRODUCTS
"Metal coatings(chemical, heat resistant, metallic, coil)"
Paper Food Packaging
"Flat Roll Steel Coil, Sheet"
Commercial Screen Printing
Color Concentrates
electroplating and metal finishing
Metalworking lathes and repair parts
silicon wafers
SHEET METAL FABRICATION
INJECTION MOLDED BATTERY
PROCESSED MEAT PRODUCTS
Frozen Hamburgers
Custom Machining
Sheet Metal Fabrication and Machined Parts
DECORATIVE METAL TRIM
commercial printing
"sports jackets, shirts, caps"
hospital communication equipment
SOFT TRIM INTERIOR PARTS
PLASTIC AUTO COMPONENTS
Plastic Injected Products
METAL STAMPINGS & ASSEMBLIES
VALVES
air & hydraulic cylinders
PVC Fencing Products
AUTOMOTIVE EXHAUST PIPES
MODULAR HOUSING
METAL STAMPINGS
Die cut & assembly parts for automotive industry
"MOPS, BROOMS, BRUSHES"
ICE CREAM
CUSTM. METAL FABRICATION
CHROME PLATED PLASTIC
"PLASTIC EXTRUSION, ETC."
GROUND AND ROAST BEEF
SPECIAL MACHINES
Bakery Equipment
STEEL AND WOODEN DOORS
Reprocessed Metal Components
TRANSMISSION DIE CASTS
UNDERWATER PELLETIZERS
AIR RESERVOIRS
All Other Plastics Product Manufacturing
blow molded plastic bottles
"LIFE PRESERVERS, PILLOWS"
Air cleaning equipment
Thermoset Composites
Aluminum & Cast Iron Automotive Parts
embroidered and screen printed sportswear
Concrete Railroad Products
SPECIAL MACHINES
WOODEN DISPLAY FIXTURES
multi-walled bags
fiberglass reinforced plastic truck/cab roofs
Mixing Equipment
NOVELTY GIFT PRODUCTS
COPPER
"TOASTERS,SCALES,PRINTERS"
UNIFORMS
Large Aluminum casted components
"Lubricants Oils, Calcium Oxide"
"Sheetmetal fabrication of vent, smoke, and fire damper units"
Recreational vehicles
Heavy Gauge Custom Plastic Sheeting
Brazing and Welding Shop
automotive stampings
commercial printing
machined components and fabrications
Plastic injection molded parts and tubing
BEEF PATTIES & PRODUCE
Brake Hose Assemblies
BAKERY PRODUCTS
beer
Steel fabrication
"pressure sensitive labels, coating for packaging"
Molded urethane foam for automotive NVH & sealing applications
HVAC for automotive
BABY NURSERY ACCESSORIES
HANDTOOLS
Temperature Control Equipment
IRON CASTINGS
Cast Acrylic
Wastewater Treatment
BLOW-MOLDED CONTAINERS
Brushroll Products
Wind Turbine Towers
BUSINESS FORMS
INDUSTRIAL FANS
WOMEN'S SHOES
POWDERED METAL PARTS
DC electric motors and injection molded parts
CENTRIFUGAL PUMPS
PAPERMAKER'S FELTS
BOX SPRING MATTRESSES
Garage Door Hardware
"Blow molded, injection molded "
FLEX. METALLIC CONDUIT
TRANSFORMERS
compression molded polymer consumer products
paper paint labels
NEWSPAPER PUBLISHING
MIRRORS
SOLENOIDS & SWITCHES
HANDTOOLS
THERMOMETERS
Graphite heat exchangers
Plastic containers
Beer
fabric cutting and embroidery
Plastic Pellets
"Custom profile extrusions for windows, doors and office furniture"
Rattan and wicker furniture
ELECTRONIC AIR CLEANERS
nitrogen manifolds and gas springs
Printed folding chipboard/corrugated cartons
Blow Molded Plastics
Commercial Printing
Punches and dies
flux-cored welding wire
"REFRIGERATORS,ICE MAKERS"
concession equipment
SPECIAL MACHINES FOR INDUSTRY
"thermoplastic seals, pistons"
"Aluminum, stainless and carbon slit coils and sheets"
Aircraft Parts
CONTROL SYSTEMS
"Sealants, coatings and adhesives"
Automotive stampings
newspapers
metal job shop
PLASTIC EXTRUSIONS
"TOOLS,DIES,JIGS"
Insulated vinyl windows and patio doors
FRACTIONAL H.P. MOTORS
Automobile seat covers and door panels
Plastic Bottles
Car Seats and Strollers
Sensors and Instruments
AUTOMATION MACHINERY
Contactors/Relays
ELECTRICAL EQUIPMENT
PLAYING CARDS & GAMES
Molded Urethane
Welded Wire Mesh Concrete Reinforcement
Precision Machine Components
NON-METALLIC GASKETS
microchannel technology
Wooden Doors and windows
PLASTIC SHEETS & SHAPES
"automotive sub-assemblies, exhaust components, gaskets"
Injection Molded Parts
Automotive Components
PRECAST CONCRETE PRODUCT
gray and ductile iron castings
PRINTED MATTER
Plastic Blow Molding
CUSTOM PLASTIC MOLDING
Extruded rubber (window seals)
"Radio Towers, Floating boat docks"
"Enviromental systems, continuous emissions monitoring system"
NEWSPAPER PUBLISHER
PLASTIC SHEET EXTRUSION
Laminated Sheets and Fabricated Products
plastic drums
printed metallic and polymeric sheets
BLACKBOARDS
"Automotive plastics, Air Conditioning Systems"
AIRCRAFT CARRIER PARTS
WINDOW & SHOWER CURTAINS
SPORTING GOODS
HVAC Assembly and Injection Molding
Large presision machined metal products
fire apparatus
Windows & Entry Doors
Custom profile extrustions for decking and railing
complete truck chassis
automotive shift towers and control cables
CURTAINS
Variable Transformers / UPS
Ambient & cryogenically ground rubber and plastic
meat products
Plastic Bottles
Beef and Pork
Tubing
Gas Burners and Heat Exchangers
Aeronautical Systems and Instrumentation
Stators and Pumps
"Jigs fixtures,tools and die machinery"
environmental control equipment
Injection molded plastics
Metal Fabrication
Vehicle Engines
"Bedding materials, filters, cotton/synthetic Textiles"
Intermediate Bulk Containers
Flat Rolled Slit Coil
Robotic welded parts
"weatherstripping, moldings, weatherseals"
"Lubricants Oils, Calcium Oxide"
X-Ray targets 
THERMOFORMED PLASTIC PACKAGING
Sheet Metal Ducts
"Aircraft Components - Generators, Converters, Controllers"
machined automotive components and assemblies
OPTICAL LENSES
CUSTOM INJECTION MOLDING
tools and dies
Automotive Textile Acoustical Systems
Automotive Fasteners
Casted aluminum fittngs
FABR. STRUCTURAL STEEL
Insulated Metal Panels
Fluid piping system
Punches and Dies
"blowers, fans"
"900MHz phones, radar detectors,CDPD modems"
MRI Coils
GEAR BOX & MOTOR DRIVES
Polypropylene Compounding
Commercial cooking equipment
SPECIAL MACHINES
Photoreceptors for laser printers and copiers
GARAGE DOORS AND OPENERS
Injection molded plastic parts
plastic containers
LAMINATED TUBS
Gray and Ductile Castings
GRAY IRON CASTINGS
sheet metal products
Precision Machined Components
FAST FOOD PAPER PACKAGE
Medical Surgical Tools
Blow molded plastic parts
plastic injection molding
Motor Vehicle Parts
PUNCHES & DIES
Aluminum and Steel
Adhesive application equipment
Screw Machine Products
CUSTOM METAL FABRICATION
"Printing, die cutting, paperboard"
Specialty Steel Products
SOUND SYSTEMS (AUTOS)
plastic injection molding
SCREW MACHINE PRODUCTS
metal cabinets
ABRASIVE SPECIALTIES
ENVELOPES
plastic injection molding
mirrors
SHEET METAL STAMPING DIE
Aluminum electrical connectors
Cinder and concrete blocks
Polymer Sealants
"blades, vanes, blisks, vane disk"
plastic containers
Metal Stamping products
Cotton Mops
ELECTRICAL CONNECTORS
TUBE & FURNISHING TOOLS
Solenoids
Hardwood Veneer
MEN'S ATHLETIC APPAREL
Farm Machinery
Automotive Parts
Human Prosthetics
PRECISION MACHINED PARTS
Industrial Process Controls
TOOLS THAT LIFT-STRETCH
electronic measuring equipment and sensors
"Quartz Manchining, Grinding, lapping, and polishing"
"Botts, nuts, screws, rivets and washers"
CUSTOM MOLDED PLASTICS
Food Services
Aircraft Components
Food packaging
CNC Machining of Various Materials
Machined Parts
Treated Drinking Water
Pumps
exhaust system fasteners
Tooling Equipment & Interior Automobile Parts
"dies, tools, jigs"
PLASTIC PACKAGING
ELECTRODE ASSEMBLIES
CNC GEAR ANALYZER
motor vehicle body side molding
"Load, torque, and pressure sensors"
Circuits and Cables
Robotic Systems
DATA PROCESSING
commercial printed products
Wastewater Treatment
COMPRESSION SPRINGS
Metal castings for electric motors
Injection Molding / Glass
INJECTION MOLDED PARTS
specialty semi-trailers
Turbine Parts
Vacuum Impregnation
Air Craft Engine Components
Automotive Transmission Components
"Pressure senstive flexographic printing on labels, tapes and"
aircraft flight control hardwar
Pont of purchase display cabinetry
Metrology Machines
Machined parts and systems
FUSES FOR MISSILES
AUTOMOTIVE CARPETS
Fire Protection Clothing
"Powertrain, Balance Shaft Components"
ELECTRONIC COMPONENTS
Molded plastic parts
EXTRUDED PLASTIC SHEETS
ASSEMBLY OF MECHANICAL DEVICE
Automation Equipments
windows for mobile homes
injection molded plastic parts
COMMERCIAL PRINTING
INDUSTRIAL COATING
Electrical Boxes and Enclosures
MEDICAL INSTRUMENTS
CUSTOM METAL FABRICATION
Water Softeners
Acoustic and Thermal Insulation
Injection molded parts assembly
Metal Fabrication
PRECISION MACHINING
plastic parts
PLASTIC PARTS-MOLDED
Wood products
"Electric Motor Manufacturing equipment, Visual flow indicato"
Water
METAL PRODUCTS
"swivels, loader arms, visi-flo"
Circuits and Cable Harnesses
COMMERCIAL PRINTING PDTS
Ultrasonic machining of silicon
Automotive Fasteners
POWER SYSTEMS
inflatable bladders
"Gears, Sprockets, Splines, & Racks"
Commercial Printing
paper rolls
COMMERICAL PRINTERS
DIES FOR BEVERAGE CANS
Labels & Tags
INJECTION MOLDED PARTS
Robotic systems for premium casting industry
Contract manufacturer primarily circuits and cables
CUSTOM MADE MACHINES
Polymers
RUBBER SEALS
molded plastic parts
recycled paper and metal
Thermoplastic polymers and resins
"fans, dampers, ac for nuclear plants"
aqueous degreasing washers
Metal Fabrication
EPS food packaging
Custom structural foam plastic injection molding
"Tooling for Foundries (Wood, Metal, and Plastic)"
precision mechanical springs and formed wire components
Machining
"Plastic Mirrors, Skylights"
Theatrical Productions
AUTO PULMONARY INSTRUMENTS
LUMBER-SAWMILL OPERATION
Molded Rubber Goods
Extruded Rubber Profile
Custom blow molded plastic parts
Corrugated polyethylene tubing
Recycled Plastics
COMMERCIAL ADVERTISEMENT
ABRASIVE PRODUCTS
SHEET-FED & WEB PRINTING
Die sets for can tooling
Pneumatic cylinder parts
PRECISION MACHINED PARTS
AUTOMOTIVE PRESSURE SWITCHES
VACUUM DEPOSITION MACHINES
Office Equipment
APPLIANCE PARTS
MOLDED PLASTIC PARTS
CUSTOM PLASTIC MOLDERS
electronic filters
injection molded automotive parts
Religious services and worship
COMMERCIAL PRINTING
VINYL WALL COVERINGS
JUVENILE FURNITURE
plastic injection molded food containers
Plasticware
mechanical drive system components and garden equipment
ZINC CASTINGS
AUTOMATIC CONTROL EQUIPMENT
CUSTOMIZED MACHINERY
PVC EXTRUSIONS
Aluminum Recycling
AIRCRAFT ENGINE PARTS
INDUSTRIAL AGITATORS
NEWSPAPER PUBLISHING
STEEL DOORS
Metal stampings
Injection molded thermoplastics
Rubber Product
FOAM FOOD CONTAINERS
ENGINE MANIFOLDS
Polymer pellets for injection molding
PLASTIC PIPE & PIPE FITTINGS
PARTS FOR AIRCRAFT
CIRCUIT BOARDS
Aluminum sand and permanent mold castings
Flat-rolled steel
WOOD VENEERS
BUSINESS FORMS
INDUSTRIAL KNIVES & WAY BARS
plastic containers
PRINTED CIRCUIT BOARDS
RADIO TRANSMITTERS
Custom injection molding
"Gray, Ductile, Alloy, Steel & Iron Casting"
SCREENING/SIFTING EQUIPMENT
AIR CYLINDERS & VALVES
FLEXIBLE PLASTIC TUBES
CANDY
"TOOLS,DIES,SPECIAL MACHINE PARTS"
ASSEMBLY VINYL BINDERS
SUBMERSIBLE ELEC. MOTORS
EYEGLASSES
INJEC-MOLDED AUTO PARTS
METAL STAMPINGS
rubber chemicals
Plastic Color Concentrate
SPECIAL IND. MECHINERY
PLASTIC INJECTION MOLDS
INDUSTRIAL MAINTANENCE PRODUCTS
PAINT AND AEROSOL CANS
Resin and Latex
"jellies, sauces, vinaigrettes, & mustard"
WOOD VENEER
VACUUM FORMED PLASTICS
"Fabricated structural steel, industrial welding"
ALUMINUM CASTINGS
PRINT EQUIPMENT TESTING
"Ultrasonic machining of glass and ceramics, metalworking"
Custom steel fabrication and boiler manufacturer
Water
RETREADED TRUCK TIRES
BITUMINOUS CONCRETE
