FY,SIC,EMPLOYEES,PRODUCTS,PRODHOURS,E2_plant_cost,E2_plant_usage,E2 in joule,kWh,KW,MW
1997.0,3069.0,250.0,"Fabricated Rubber Products, Base boards, floor tile",6000.0,304823.0,83633.0,88200000000000.0,24510412.81,4085.068802,4.085068802
1998.0,3321.0,320.0,Gray iron & ductile castings,5500.0,341077.0,83518.0,88100000000000.0,24476709.64,4450.310843,4.450310843
2023.0,3411.0,175.0,Metal Cans,8568.0,526728.4,83504.0,88100000000000.0,24472606.64,2856.279954,2.856279954
1988.0,2816.0,61.0,INORGANIC PIGMENTS,7200.0,383905.0,83373.0,88000000000000.0,24434214.33,3393.64088,3.39364088
2002.0,2653.0,250.0,"Corrugated shipping containers, paper coating, signs and displays",6977.0,528287.0,83240.0,87800000000000.0,24395235.88,3496.52227,3.49652227
2022.0,2834.0,180.0,Pharmaceuticals,6000.0,344214.0,80202.0,84600000000000.0,23504885.97,3917.480995,3.917480995
1991.0,3312.0,390.0,ELECTRIC WELDED TUBING,5800.0,313886.0,80012.0,84400000000000.0,23449202.47,4042.965943,4.042965943
1991.0,2824.0,265.0,ACRYLIC SHEETS,8500.0,216913.0,79623.0,84000000000000.0,23335197.82,2745.317391,2.745317391
2006.0,3315.0,55.0,Steel wire,8400.0,573692.0,78240.0,82500000000000.0,22929880.53,2729.747682,2.729747682
2022.0,3714.0,450.0,Brakes,6240.0,308706.0,77905.0,82200000000000.0,22831701.72,3658.926558,3.658926558
1999.0,3599.0,320.0,Machined automotive brake rotors and drums,6000.0,272505.0,77838.0,82100000000000.0,22812065.96,3802.010993,3.802010993
2010.0,3441.0,300.0,Electric Disconnect Equipment,4000.0,979132.0,77711.0,82000000000000.0,22774845.93,5693.711484,5.693711484
2001.0,2891.0,500.0,Adhesives and Sealants,6600.0,316132.0,77023.0,81300000000000.0,22573213.04,3420.183794,3.420183794
1987.0,3363.0,266.0,ALUMINUM CASTINGS,6240.0,383355.0,76651.0,80900000000000.0,22464190.6,3600.030545,3.600030545
2022.0,3466.0,135.0,Metal Closures,8400.0,265254.0,76289.0,80500000000000.0,22358098.87,2661.678437,2.661678437
1990.0,3463.0,157.0,TITANIUM ALLOY AIR FOILS,4900.0,218893.0,75842.0,80000000000000.0,22227096.1,4536.142062,4.536142062
1994.0,3411.0,86.0,aluminum beverage can,8300.0,251437.0,73952.0,78000000000000.0,21673191.78,2611.227925,2.611227925
2006.0,3096.0,700.0,"Rubber, Plastic and Thermoplastic components",6468.0,750536.0,73233.0,77300000000000.0,21462473.68,3318.255053,3.318255053
2007.0,3940.0,295.0,Bi-Metallic Bushings and Thrust Washers,6600.0,970112.0,72998.0,77000000000000.0,21393601.98,3241.454846,3.241454846
1985.0,3363.0,100.0,ALUMINUM DIE CASTINGS,6000.0,336370.0,72472.0,76500000000000.0,21239446.6,3539.907766,3.539907766
2018.0,3365.0,368.0,Cast Metal,7956.0,370561.0,71089.0,75000000000000.0,20834129.31,2618.668842,2.618668842
1996.0,3412.0,175.0,reconditioned drums,3200.0,247800.0,70793.0,74700000000000.0,20747380.27,6483.556335,6.483556335
1999.0,3363.0,135.0,aluminum die castings,7344.0,236181.0,70307.0,74200000000000.0,20604947.73,2805.684604,2.805684604
1997.0,3089.0,200.0,Fabricated Rubber Products,3000.0,268483.0,70273.0,74100000000000.0,20594983.31,6864.994438,6.864994438
1985.0,2841.0,280.0,"SOAP PADS,FABRIC SOFTENER",6240.0,385232.0,69706.0,73500000000000.0,20428812.02,3273.84808,3.27384808
2011.0,2026.0,180.0,"Fluid Milk, Beverage, and Culture",8760.0,580330.0,69572.0,73400000000000.0,20389540.49,2327.573116,2.327573116
1997.0,3365.0,170.0,aluminum castings,6000.0,270320.0,69282.0,73100000000000.0,20304549.88,3384.091647,3.384091647
2008.0,3291.0,130.0,Brake Components,6600.0,549243.0,68813.0,72600000000000.0,20167099.55,3055.621144,3.055621144
1983.0,2254.0,306.0,KNIT GOODS,5500.0,369243.0,68731.0,72500000000000.0,20143067.72,3662.37595,3.66237595
2012.0,3061.0,450.0,rubber vibration isolation,8400.0,337193.0,68728.0,72500000000000.0,20142188.51,2397.879585,2.397879585
2013.0,3325.0,50.0,Foundry,4250.0,377370.0,68211.0,72000000000000.0,19990670.77,4703.687239,4.703687239
2007.0,3363.0,300.0,Zinc and Aluminum Die Casting,5880.0,723139.0,68096.0,71800000000000.0,19956967.59,3394.042108,3.394042108
1999.0,3321.0,150.0,ferrous alloy and aluminum castings,6600.0,237129.0,67823.0,71600000000000.0,19876959.19,3011.660484,3.011660484
1991.0,3561.0,436.0,PROGRESSIVE CAVITY PUMPS,8300.0,220104.0,67768.0,71500000000000.0,19860840.28,2392.872323,2.392872323
2000.0,2096.0,75.0,Food products,3120.0,242980.0,67682.0,71400000000000.0,19835636.17,6357.575696,6.357575696
1998.0,3315.0,210.0,"Wire ,cold drawn and hot rolled steel, spring, coiling and f",8736.0,274316.0,67355.0,71100000000000.0,19739801.93,2259.592712,2.259592712
2009.0,3069.0,80.0,Rubber Flooring,2500.0,666469.0,65146.0,68700000000000.0,19092407.94,7636.963175,7.636963175
1994.0,2087.0,400.0,flavors,8400.0,323146.0,65062.0,68600000000000.0,19067789.97,2269.974996,2.269974996
2007.0,2521.0,707.0,Wood Office Furniture,2450.0,631944.0,64778.0,68300000000000.0,18984557.78,7748.799095,7.748799095
2001.0,3052.0,263.0,Rubber Products,6360.0,378567.0,64741.0,68300000000000.0,18973714.15,2983.288389,2.983288389
2007.0,3792.0,400.0,Laminated fiberglass Truck caps and lids,5100.0,697454.0,64614.0,68200000000000.0,18936494.13,3713.038064,3.713038064
1983.0,2082.0,127.0,BREWERY,8500.0,294733.0,64120.0,67700000000000.0,18791717.02,2210.790238,2.210790238
1997.0,3365.0,212.0,Aluminum Castings,3000.0,354752.0,64058.0,67600000000000.0,18773546.61,6257.848871,6.257848871
2020.0,2026.0,133.0,"Diary (Milk, Cheese, Sour Cream)",8760.0,288157.0,64029.0,67600000000000.0,18765047.55,2142.128716,2.142128716
2009.0,2834.0,150.0,Pharmaceuticals,6600.0,601696.0,63988.0,67500000000000.0,18753031.64,2841.36843,2.84136843
2015.0,3229.0,88.0,Glass Tubes,8232.0,273646.0,63936.0,67500000000000.0,18737791.94,2276.213793,2.276213793
1998.0,2653.0,125.0,Corrugated boxes and shipping containers,6600.0,225791.0,63672.0,67200000000000.0,18660421.18,2827.336542,2.827336542
2006.0,3995.0,250.0,Caskets,4500.0,730082.0,62478.0,65900000000000.0,18310494.32,4068.998738,4.068998738
2004.0,3471.0,115.0,plating,6000.0,439200.0,62051.0,65500000000000.0,18185352.98,3030.892163,3.030892163
1993.0,2657.0,170.0,Printed beverage cartons,8400.0,304285.0,61767.0,65200000000000.0,18102120.79,2155.01438,2.15501438
2005.0,2951.0,50.0,Asphalt Products,3432.0,378070.0,59980.0,63300000000000.0,17578402.79,5121.912235,5.121912235
2019.0,3694.0,795.0,Automotive Alternators and Starter Motors,7200.0,320093.0,58173.0,61400000000000.0,17048823.37,2367.892134,2.367892134
2003.0,2378.0,296.0,Aircraft propellers,8400.0,66594.0,56857.0,60000000000000.0,16663141.84,1983.707362,1.983707362
1987.0,2679.0,150.0,PAPER CONVERTING PRODCTS,6000.0,264815.0,56751.0,59900000000000.0,16632076.3,2772.012717,2.772012717
2006.0,2869.0,84.0,Specialty Organic/Inorganic Chemicals,7200.0,570011.0,56617.0,59700000000000.0,16592804.78,2304.556219,2.304556219
2020.0,2834.0,564.0,"Vivitrol, Aristada, Risperdal Consta, and Polymer",8064.0,246349.0,56388.0,59500000000000.0,16525691.5,2049.316903,2.049316903
2012.0,2851.0,192.0,Paint,7200.0,294363.0,56380.0,59500000000000.0,16523346.94,2294.909297,2.294909297
2020.0,2026.0,145.0,"Milk, Cottage Cheese, Sour Cream, Yogurts, Beverages",8760.0,247589.0,56000.0,59100000000000.0,16411979.93,1873.513691,1.873513691
2008.0,3412.0,66.0,Steel drums,4000.0,535493.0,55818.0,58900000000000.0,16358640.99,4089.660249,4.089660249
1985.0,2653.0,165.0,CORRUGATED CONTAINERS,6000.0,310732.0,55808.0,58900000000000.0,16355710.28,2725.951714,2.725951714
2001.0,3499.0,110.0,Metal burial vaults and steel coil processing,3000.0,346322.0,54927.0,58000000000000.0,16097514.67,5365.838224,5.365838224
2000.0,2087.0,120.0,flavoring extracts and syrups,6732.0,199088.0,54671.0,57700000000000.0,16022488.48,2380.048793,2.380048793
2020.0,2024.0,185.0,Ice Cream and Beverages,8112.0,175109.0,54397.0,57400000000000.0,15942187.0,1965.259739,1.965259739
2010.0,3089.0,105.0,Custom Molding of Plastic Tanks,6000.0,458909.0,53836.0,56800000000000.0,15777774.13,2629.629022,2.629629022
1985.0,2099.0,239.0,VEG PROTEIN FOODS,4992.0,299958.0,53825.0,56800000000000.0,15774550.35,3159.966016,3.159966016
2002.0,2047.0,48.0,Dog cat and small animal feed,6240.0,319555.0,53767.0,56700000000000.0,15757552.23,2525.248755,2.525248755
1984.0,2653.0,140.0,CORRUGATED SHIPPING CART,6000.0,300172.0,53585.0,56500000000000.0,15704213.3,2617.368883,2.617368883
2015.0,2051.0,110.0,Buns,6240.0,309764.0,53074.0,56000000000000.0,15554453.98,2492.700958,2.492700958
1995.0,3412.0,88.0,"storage drums, kegs",4500.0,165000.0,52678.0,55600000000000.0,15438397.83,3430.755074,3.430755074
2020.0,2672.0,100.0,Coated and Laminated Paper,6000.0,260860.0,52462.0,55400000000000.0,15375094.48,2562.515747,2.562515747
2000.0,2759.0,191.0,Commercial offset printing,8736.0,219874.0,52351.0,55200000000000.0,15342563.59,1756.245833,1.756245833
2015.0,3561.0,250.0,Pumps,8760.0,265325.0,52190.0,55100000000000.0,15295379.15,1746.047848,1.746047848
1995.0,2653.0,110.0,corrugated boxes,7000.0,184772.0,51953.0,54800000000000.0,15225921.31,2175.131616,2.175131616
1992.0,3499.0,122.0,STEEL PROCESSING,6000.0,213073.0,50992.0,53800000000000.0,14944280.01,2490.713335,2.490713335
2015.0,3714.0,474.0,Automotive Steering Components and CVT Transmission Parts,5880.0,291211.0,50670.0,53500000000000.0,14849911.13,2525.495089,2.525495089
2000.0,2841.0,350.0,Custom bar soap products,6732.0,167223.0,50442.0,53200000000000.0,14783090.92,2195.943393,2.195943393
1990.0,2657.0,146.0,PAPERBOARD CARTONS,8736.0,187138.0,50380.0,53200000000000.0,14764920.52,1690.123685,1.690123685
2008.0,3679.0,250.0,refrigeration and sensor parts,6336.0,565508.0,50115.0,52900000000000.0,14687256.68,2318.064502,2.318064502
2010.0,5084.0,550.0,Industrial and IT Enclosures,6912.0,558796.0,50114.0,52900000000000.0,14686963.61,2124.850059,2.124850059
2006.0,3542.0,485.0,Mechanical Metal Forming Presses,7488.0,436165.0,50028.0,52800000000000.0,14661759.5,1958.034121,1.958034121
1989.0,3548.0,393.0,"WELDERS,AIRCRFT GRD POWER",6000.0,205075.0,49655.0,52400000000000.0,14552443.99,2425.407332,2.425407332
2011.0,3555.0,640.0,High Speed Inkjet Printing Systems,6000.0,560341.0,49507.0,52200000000000.0,14509069.47,2418.178245,2.418178245
2017.0,3089.0,53.0,Rigid Extrusion PVC Product,8400.0,194754.0,49261.0,52000000000000.0,14436973.99,1718.687379,1.718687379
1984.0,2891.0,360.0,"ADHESIVE,CAULKS",8600.0,269115.0,49009.0,51700000000000.0,14363120.08,1670.130242,1.670130242
2019.0,3714.0,866.0,Steering Wheels and Injection Molds,6000.0,257700.0,48689.0,51400000000000.0,14269337.34,2378.222889,2.378222889
