Month,Hour,Day,Temperature,GHI
9,14,15.5,25.573333333333334,532.3333333333334
9,15,15.5,25.05666666666667,406.76666666666665
9,16,15.5,24.1,254.5
9,17,15.5,22.243333333333332,123.23333333333333
9,18,15.5,20.186666666666667,19.266666666666666
9,19,15.5,19.02,0.0
9,20,15.5,18.259999999999998,0.0
9,21,15.5,17.563333333333333,0.0
9,22,15.5,16.923333333333332,0.0
9,23,15.5,16.346666666666668,0.0
10,0,15.5,8.23,0.0
10,1,15.5,7.836666666666667,0.0
10,2,15.5,7.48,0.0
10,3,15.5,7.12,0.0
10,4,15.5,6.7266666666666675,0.0
10,5,15.5,6.35,0.0
10,6,15.5,6.463333333333334,0.3333333333333333
10,7,15.5,7.819999999999999,77.3
10,8,15.5,10.203333333333335,221.1
10,9,15.5,12.976666666666667,378.43333333333334
10,10,15.5,15.54,488.26666666666665
10,11,15.5,17.386666666666667,535.3666666666667
10,12,15.5,18.53666666666667,560.3333333333334
10,13,15.5,19.113333333333333,537.5333333333333
10,14,15.5,19.18,434.4
10,15,15.5,18.59333333333333,325.26666666666665
10,16,15.5,16.82,179.6
10,17,15.5,14.126666666666667,46.1
10,18,15.5,12.26,0.0
10,19,15.5,11.396666666666667,0.0
10,20,15.5,10.623333333333333,0.0
10,21,15.5,9.94,0.0
10,22,15.5,9.4,0.0
10,23,15.5,8.883333333333333,0.0
11,0,15.5,4.46,0.0
11,1,15.5,4.296666666666667,0.0
11,2,15.5,4.14,0.0
11,3,15.5,3.9866666666666664,0.0
11,4,15.5,3.75,0.0
11,5,15.5,3.4266666666666667,0.0
11,6,15.5,3.136666666666667,0.0
11,7,15.5,3.603333333333333,12.666666666666666
11,8,15.5,5.083333333333333,109.36666666666666
11,9,15.5,7.013333333333334,218.43333333333334
11,10,15.5,8.973333333333333,307.7
11,11,15.5,10.53,352.7
11,12,15.5,11.56,363.1333333333333
11,13,15.5,12.033333333333333,349.73333333333335
11,14,15.5,11.94,285.9
11,15,15.5,11.03,180.3
11,16,15.5,9.066666666666666,74.43333333333334
11,17,15.5,7.2266666666666675,1.4333333333333333
11,18,15.5,6.28,0.0
11,19,15.5,5.653333333333333,0.0
11,20,15.5,5.083333333333333,0.0
11,21,15.5,4.666666666666667,0.0
11,22,15.5,4.36,0.0
11,23,15.5,4.12,0.0
12,0,15.5,-1.2833333333333334,0.0
12,1,15.5,-1.3833333333333333,0.0
12,2,15.5,-1.4699999999999998,0.0
12,3,15.5,-1.5366666666666666,0.0
12,4,15.5,-1.64,0.0
12,5,15.5,-1.763333333333333,0.0
12,6,15.5,-1.9266666666666665,0.0
12,7,15.5,-1.9066666666666667,0.0
12,8,15.5,-1.1466666666666667,42.53333333333333
12,9,15.5,0.19999999999999998,122.46666666666667
12,10,15.5,1.6166666666666667,190.73333333333332
12,11,15.5,2.8433333333333337,227.66666666666666
12,12,15.5,3.7333333333333334,225.06666666666666
12,13,15.5,4.21,220.13333333333333
12,14,15.5,4.203333333333334,155.9
12,15,15.5,3.466666666666667,97.4
12,16,15.5,2.1399999999999997,51.0
12,17,15.5,1.1966666666666665,0.0
12,18,15.5,0.8433333333333333,0.0
12,19,15.5,0.5466666666666666,0.0
12,20,15.5,0.2066666666666667,0.0
12,21,15.5,-0.14999999999999988,0.0
12,22,15.5,-0.4366666666666667,0.0
12,23,15.5,-0.67,0.0
